"group" "methylationClass" "color"
"Embryonal" "ETMR" "#309bd6"
"Embryonal" "MB, WNT" "#5cabdc"
"Embryonal" "MB, G3" "#2489c9"
"Embryonal" "MB, G4" "#8bc3e7"
"Embryonal" "MB, SHH CHL AD" "#2f85c9"
"Embryonal" "MB, SHH INF" "#7fbee5"
"Embryonal" "ATRT, MYC" "#1d74ba"
"Embryonal" "ATRT, SHH" "#38a0d8"
"Embryonal" "ATRT, TYR" "#51acde"
"Embryonal" "CNS NB, FOXR2" "#4491ce"
"Embryonal" "HGNET, BCOR" "#5e9ed2"
"Glioblastoma" "DMG, K27" "#96d48b"
"Glioblastoma" "GBM, G34" "#55c16b"
"Glioblastoma" "GBM, MES" "#4c8d42"
"Glioblastoma" "GBM, RTK I" "#66c255"
"Glioblastoma" "GBM, RTK II" "#7ccb73"
"Glioblastoma" "GBM, RTK III" "#76c54f"
"Glioblastoma" "GBM, MID" "#35823a"
"Glioblastoma" "GBM, MYCN" "#63c258"
"Glio-neuronal" "CN" "#c25621"
"Glio-neuronal" "DLGNT" "#dd7140"
"Glio-neuronal" "LIPN" "#ef7934"
"Glio-neuronal" "LGG, DIG/DIA" "#e05220"
"Glio-neuronal" "LGG, DNT" "#dc5520"
"Glio-neuronal" "LGG, RGNT" "#ff8d4e"
"Glio-neuronal" "RETB" "#ff915e"
"Glio-neuronal" "ENB, A" "#b14a1f"
"Glio-neuronal" "ENB, B" "#ff7d45"
"Glio-neuronal" "PGG, nC" "#ff7e31"
"Glio-neuronal" "LGG, GG" "#fb703f"
"Sella" "CPH, ADM" "#6ad1c7"
"Sella" "CPH, PAP" "#56cdce"
"Sella" "PITAD, ACTH" "#29857d"
"Sella" "PITAD, FSH LH" "#41ada1"
"Sella" "PITAD, PRL" "#35c2b3"
"Sella" "PITAD, STH SPA" "#51cabd"
"Sella" "PITAD, TSH" "#4bc9be"
"Sella" "PITAD, STH DNS A" "#3dc5be"
"Sella" "PITAD, STH DNS B" "#41c8c8"
"Sella" "PITUI" "#5ed0d4"
"Ependymal" "EPN, RELA" "#ee5350"
"Ependymal" "EPN, YAP" "#ff5e75"
